step,tokens,train_loss,val_loss,lr,tok_per_sec
10,2621440,25.9802,,1.250000e-06,19403
20,5242880,17.0166,,2.500000e-06,50476
30,7864320,10.1917,,3.750000e-06,50445
40,10485760,9.2554,,5.000000e-06,50425
50,13107200,8.8667,,6.250000e-06,50440
60,15728640,8.6376,,7.500000e-06,50424
70,18350080,8.4302,,8.750000e-06,50405
80,20971520,8.2011,,1.000000e-05,50358
90,23592960,7.9426,,1.125000e-05,50323
100,26214400,7.7091,,1.250000e-05,50276
110,28835840,7.5130,,1.375000e-05,50322
120,31457280,7.3421,,1.500000e-05,50322
130,34078720,7.2483,,1.625000e-05,50318
140,36700160,7.1062,,1.750000e-05,50319
150,39321600,6.9894,,1.875000e-05,50319
160,41943040,6.9029,,2.000000e-05,50332
170,44564480,6.8250,,2.125000e-05,50326
180,47185920,6.7380,,2.250000e-05,50338
190,49807360,6.6450,,2.375000e-05,50337
200,52428800,6.6303,,2.500000e-05,50358
210,55050240,6.5387,,2.625000e-05,50380
220,57671680,6.5034,,2.750000e-05,50389
230,60293120,6.3907,,2.875000e-05,50393
240,62914560,6.3375,,3.000000e-05,50410
250,65536000,6.2741,,3.125000e-05,50400
260,68157440,6.2404,,3.250000e-05,50395
270,70778880,6.1484,,3.375000e-05,50370
280,73400320,6.0948,,3.500000e-05,50379
290,76021760,6.0770,,3.625000e-05,50400
300,78643200,6.0004,,3.750000e-05,50374
310,81264640,5.9187,,3.875000e-05,50369
320,83886080,5.8811,,4.000000e-05,50338
330,86507520,5.8319,,4.125000e-05,50357
340,89128960,5.8128,,4.250000e-05,50361
350,91750400,5.7453,,4.375000e-05,50342
360,94371840,5.6845,,4.500000e-05,50319
370,96993280,5.6542,,4.625000e-05,50318
380,99614720,5.5999,,4.750000e-05,50359
390,102236160,5.5615,,4.875000e-05,50370
400,104857600,5.4654,,5.000000e-05,50397
410,107479040,5.4745,,5.125000e-05,50365
420,110100480,5.4258,,5.250000e-05,50381
430,112721920,5.4000,,5.375000e-05,50378
